country,DRI,GDPPCPPP,income_status
Canada,10,48072.58376,H
USA,13,63543.57779,H
Mexico,49,18833.08242,UM
Venezuela,53,,
Ecuador,60,10896.42743,UM
Argentina,51,20767.6105,UM
South Africa,54,12095.85629,UM
India,71,6454.347356,LM
"Taiwan, China",55,,H
Viet Nam,59,8650.653672,LM
Thailand,60,18236.17611,UM
Australia,35,52518.32448,H
Ireland,49,93612.16591,H
UK,45,44916.22834,H
Netherlands,34,59228.83495,H
Belgium,43,51968.19202,H
France,42,46226.95054,H
Spain,48,38334.61134,H
Portugal,44,34495.92247,H
Norway,9,63197.98147,H
Sweden,6,54563.12141,H
Finland,18,51089.78533,H
Estonia,34,38394.91753,H
Latvia,51,32019.22234,H
Lithuania,46,38734.72932,H
Denmark,15,60398.45334,H
Poland,40,34264.75976,H
Germany,27,53694.35471,H
Switzerland,33,71352.3526,H
Austria,32,55097.46123,H
Italy,47,41839.99102,H
Czech Republic,38,41737.41804,H
Slovakia,48,31832.39461,H
Hungary,39,33084.09623,H
Slovenia,39,39593.30744,H
Croatia,41,28503.88057,H
Bosnia,52,15611.79131,UM
Serbia,56,19230.63006,UM
Romania,57,31945.74966,UM
Bulgaria,48,24367.32392,UM
Greece,47,28463.78868,H
Turkey,55,28119.45304,UM
