Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,11,Austria,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1601.5,,Official data
PP,Producer Prices,255,Belgium,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1325.2,,Official data
PP,Producer Prices,33,Canada,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1157.5,,Official data
PP,Producer Prices,40,Chile,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1083.7,,Official data
PP,Producer Prices,98,Croatia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1488.1,,Official data
PP,Producer Prices,167,Czechia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1387.4,,Official data
PP,Producer Prices,54,Denmark,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1231,,Official data
PP,Producer Prices,63,Estonia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1159.8,,Official data
PP,Producer Prices,79,Germany,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1499.6,,Official data
PP,Producer Prices,84,Greece,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2358.4,,Official data
PP,Producer Prices,97,Hungary,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1529.3,,Official data
PP,Producer Prices,105,Israel,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,4869.4,,Official data
PP,Producer Prices,106,Italy,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2499.4,,Official data
PP,Producer Prices,110,Japan,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,3216.2,,Official data
PP,Producer Prices,119,Latvia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1405.5,,Official data
PP,Producer Prices,126,Lithuania,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1363.5,,Official data
PP,Producer Prices,256,Luxembourg,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,3017.6,,Official data
PP,Producer Prices,150,Netherlands,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1433.4,,Official data
PP,Producer Prices,156,New Zealand,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1824.9,,Official data
PP,Producer Prices,173,Poland,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1402.8,,Official data
PP,Producer Prices,188,Saint Kitts and Nevis,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,4899.2,,Official data
PP,Producer Prices,211,Switzerland,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,3023.7,,Official data
PP,Producer Prices,229,United Kingdom of Great Britain and Northern Ireland,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1397.8,,Official data
PP,Producer Prices,231,United States of America,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1133.2,,Official data
PP,Producer Prices,234,Uruguay,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1730.2,,Official data
,,,,,,,,,,,,,1961.532,,
