Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,11,Austria,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1130,,Official data
PP,Producer Prices,255,Belgium,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,945.5,,Official data
PP,Producer Prices,26,Brunei Darussalam,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2781.9,,Official data
PP,Producer Prices,33,Canada,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1605.2,,Official data
PP,Producer Prices,98,Croatia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1069.6,,Official data
PP,Producer Prices,167,Czechia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1010.8,,Official data
PP,Producer Prices,54,Denmark,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,926.8,,Official data
PP,Producer Prices,63,Estonia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1232.3,,Official data
PP,Producer Prices,79,Germany,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,929.6,,Official data
PP,Producer Prices,84,Greece,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1570.5,,Official data
PP,Producer Prices,97,Hungary,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,896.4,,Official data
PP,Producer Prices,105,Israel,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1824.7,,Official data
PP,Producer Prices,106,Italy,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1534.4,,Official data
PP,Producer Prices,110,Japan,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1663.2,,Official data
PP,Producer Prices,119,Latvia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1464.9,,Official data
PP,Producer Prices,126,Lithuania,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,948.6,,Official data
PP,Producer Prices,256,Luxembourg,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,3662.2,,Official data
PP,Producer Prices,150,Netherlands,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,916.5,,Official data
PP,Producer Prices,156,New Zealand,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1213.5,,Official data
PP,Producer Prices,173,Poland,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,892.1,,Official data
PP,Producer Prices,174,Portugal,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,957.9,,Official data
PP,Producer Prices,194,Saudi Arabia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2366.7,,Official data
PP,Producer Prices,199,Slovakia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,943.7,,Official data
PP,Producer Prices,198,Slovenia,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1151.3,,Official data
PP,Producer Prices,203,Spain,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1178.5,,Official data
PP,Producer Prices,211,Switzerland,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,2392.8,,Official data
PP,Producer Prices,234,Uruguay,5532,Producer Price (USD/tonne),1095,"Meat live weight, chicken",2019,2019,7021,Annual value,USD,1276.4,,Official data
,,,,,,,,,,,,,1425.407407,,
