Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,3,Albania,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,3297.9,,Official data
PP,Producer Prices,9,Argentina,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1166.8,,Official data
PP,Producer Prices,1,Armenia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,3983.7,,Official data
PP,Producer Prices,57,Belarus,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1410,,Official data
PP,Producer Prices,27,Bulgaria,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1435.3,,Official data
PP,Producer Prices,58,Ecuador,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1692.3,,Official data
PP,Producer Prices,73,Georgia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,786.5,,Official data
PP,Producer Prices,91,Guyana,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2004.8,,Official data
PP,Producer Prices,109,Jamaica,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2475.4,,Official data
PP,Producer Prices,108,Kazakhstan,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1455.3,,Official data
PP,Producer Prices,131,Malaysia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1582.2,,Official data
PP,Producer Prices,138,Mexico,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1464.2,,Official data
PP,Producer Prices,154,North Macedonia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1948.2,,Official data
PP,Producer Prices,170,Peru,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2104.8,,Official data
PP,Producer Prices,183,Romania,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1472.4,,Official data
PP,Producer Prices,185,Russian Federation,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1463.8,,Official data
PP,Producer Prices,189,Saint Lucia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,4074.1,,Official data
PP,Producer Prices,272,Serbia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1434.5,,Official data
PP,Producer Prices,207,Suriname,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2165.5,,Official data
PP,Producer Prices,216,Thailand,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2142.5,,Official data
,,,,,,,,,,,,,1978.01,,
