Entity,Code,Year,Productivity (PWT 9.1 (2019))
Argentina,ARG,1950,3.1323583
Argentina,ARG,1951,3.1537223
Argentina,ARG,1952,2.8275332
Argentina,ARG,1953,2.963201
Argentina,ARG,1954,3.0450959
Argentina,ARG,1955,3.2100456
Argentina,ARG,1956,3.2442515
Argentina,ARG,1957,3.3627226
Argentina,ARG,1958,3.5632772
Argentina,ARG,1959,3.305795
Argentina,ARG,1960,3.5032043
Argentina,ARG,1961,3.5834718
Argentina,ARG,1962,3.6150167
Argentina,ARG,1963,3.4547565
Argentina,ARG,1964,3.5960059
Argentina,ARG,1965,4.0012131
Argentina,ARG,1966,4.0533223
Argentina,ARG,1967,4.1533222
Argentina,ARG,1968,4.2373619
Argentina,ARG,1969,4.6145616
Argentina,ARG,1970,4.7078919
Argentina,ARG,1971,4.8136106
Argentina,ARG,1972,4.8590355
Argentina,ARG,1973,5.0915828
Argentina,ARG,1974,5.1528296
Argentina,ARG,1975,5.0658374
Argentina,ARG,1976,5.0872693
Argentina,ARG,1977,5.3133326
Argentina,ARG,1978,5.203927
Argentina,ARG,1979,5.4606805
Argentina,ARG,1980,5.4924817
Argentina,ARG,1981,5.5658088
Argentina,ARG,1982,5.7907901
Argentina,ARG,1983,6.1241703
Argentina,ARG,1984,6.4134645
Argentina,ARG,1985,6.2528167
Argentina,ARG,1986,6.801054
Argentina,ARG,1987,7.1421461
Argentina,ARG,1988,7.5077691
Argentina,ARG,1989,7.210247
Argentina,ARG,1990,7.9278641
Argentina,ARG,1991,9.1064196
Argentina,ARG,1992,10.624586
Argentina,ARG,1993,12.120313
Argentina,ARG,1994,13.41672
Argentina,ARG,1995,15.668852
Argentina,ARG,1996,19.797655
Argentina,ARG,1997,18.918245
Argentina,ARG,1998,18.077232
Argentina,ARG,1999,16.997791
Argentina,ARG,2000,17.088823
Argentina,ARG,2001,16.888453
Argentina,ARG,2002,16.212681
Argentina,ARG,2003,16.699135
Argentina,ARG,2004,16.864653
Argentina,ARG,2005,17.18429
Argentina,ARG,2006,17.67194
Argentina,ARG,2007,18.664129
Argentina,ARG,2008,19.550049
Argentina,ARG,2009,18.543003
Argentina,ARG,2010,20.23
Argentina,ARG,2011,21.44911
Argentina,ARG,2012,21.437298
Argentina,ARG,2013,21.548719
Argentina,ARG,2014,21.15003
Argentina,ARG,2015,21.29937
Argentina,ARG,2016,21.183163
Argentina,ARG,2017,21.749641
Australia,AUS,1950,13.322768
Australia,AUS,1951,12.820562
Australia,AUS,1952,12.497678
Australia,AUS,1953,14.030227
Australia,AUS,1954,14.992547
Australia,AUS,1955,15.641343
Australia,AUS,1956,15.745474
Australia,AUS,1957,15.792577
Australia,AUS,1958,17.090656
Australia,AUS,1959,18.153866
Australia,AUS,1960,18.05427
Australia,AUS,1961,18.552853
Australia,AUS,1962,19.15642
Australia,AUS,1963,19.981464
Australia,AUS,1964,20.298876
Australia,AUS,1965,19.985029
Australia,AUS,1966,20.664099
Australia,AUS,1967,20.986965
Australia,AUS,1968,22.093
Australia,AUS,1969,23.179087
Australia,AUS,1970,23.250698
Australia,AUS,1971,23.88142
Australia,AUS,1972,24.58086
Australia,AUS,1973,25.215528
Australia,AUS,1974,23.592522
Australia,AUS,1975,24.323568
Australia,AUS,1976,24.920927
Australia,AUS,1977,25.126692
Australia,AUS,1978,26.238943
Australia,AUS,1979,26.66614
Australia,AUS,1980,26.848894
Australia,AUS,1981,28.003149
Australia,AUS,1982,27.646475
Australia,AUS,1983,29.969896
Australia,AUS,1984,29.874096
Australia,AUS,1985,29.848671
Australia,AUS,1986,29.151663
Australia,AUS,1987,30.814905
Australia,AUS,1988,31.502882
Australia,AUS,1989,31.221367
Australia,AUS,1990,31.074718
Australia,AUS,1991,31.9223
Australia,AUS,1992,33.419811
Australia,AUS,1993,34.15519
Australia,AUS,1994,34.381001
Australia,AUS,1995,34.892288
Australia,AUS,1996,36.566433
Australia,AUS,1997,38.199703
Australia,AUS,1998,39.136868
Australia,AUS,1999,40.284904
Australia,AUS,2000,40.52187
Australia,AUS,2001,42.122478
Australia,AUS,2002,42.412212
Australia,AUS,2003,43.462162
Australia,AUS,2004,44.333633
Australia,AUS,2005,45.976162
Australia,AUS,2006,46.081429
Australia,AUS,2007,45.908466
Australia,AUS,2008,47.30357
Australia,AUS,2009,47.501831
Australia,AUS,2010,50.50304
Australia,AUS,2011,52.322773
Australia,AUS,2012,52.503056
Australia,AUS,2013,53.549725
Australia,AUS,2014,54.28088
Australia,AUS,2015,51.537594
Australia,AUS,2016,54.122646
Australia,AUS,2017,54.590942
