scenario,parameter,description,value,distribution,low,high
human_0,well_dead,background mortality rate,0.001583005,NA,,
human_0,birth_well,"background rate of entering the cohort (for example, if the cohort of interest was the total population this would be equivalent to the birth rate)",0.004212797,NA,,
human_1,well_r,probability of  getting resistance infections in a year,6.19E-06,NA,,
human_1,well_s,probability of getting susceptible infections ,1.31E-04,NA,,
human_0,s_dead,mortality rate of resistant cases,0.051878167,beta,0.001187254,0.001978756
human_0,r_dead,mortality rate of susceptible cases,0.055064565,beta,0.003159598,0.005265996
human_0,s_cost,healthcare system cost of susceptible infections,666.82,lognormal,4.64067E-06,7.73445E-06
human_0,r_cost,healthcare system cost of resistant infections,846.8614,lognormal,9.85038E-05,0.000164173
human_0,hrqol_death,health-related quality of life loss associated with an excess death,1,NA,,
human_0,hrqol_ill,health-related quality of life loss associated with illness,0,NA,,
human_0,expected_ly,additional years of life expected based on age,46,NA,,
animal_0,well_dead,on-farm mortality rate,0.032364682,normal,0.024273512,0.024273512
animal_0,birth_well,background birth rate of livestock,1,NA,,
animal_1,well_r,probability of  getting resistance infections in a year,0.088,beta,0.066,0.11
animal_1,well_s,probability of getting susceptible infections ,0.312,beta,0.234,0.39
animal_0,c_animal,general cost per animal kept,2.709,lognormal,2.03175,3.38625
animal_0,i_animal,income per animal sold,4.8,normal,3.6,6
animal_0,s_dead,"proportion with susceptible infection that die (unsold, i.e. fallen stock)",0.25,beta,0.1875,0.3125
animal_0,r_dead,"proportion with susceptible infection that die (unsold, i.e. fallen stock)",0.375,beta,0.28125,0.46875
animal_0,s_cost,cost of treating susceptible infection,1,lognormal,0.75,1.25
animal_0,r_cost,cost of treating resistant infection,2,uniform,1.5,2.5
intervention,int_cost_per,hypothetical intervention cost per animal,0.25,uniform,0.1875,0.3125
intervention,u_RH,reduction in resistance in humans from reduction in antibiotic usage in animals,0.16,beta,0.12,0.2
intervention,u_RA,reduction in resistance in animals from reduction in antibiotic usage in animals,0.18,beta,0.135,0.225
intervention,n_farms,number of farms in the population of interest,1000,NA,,
intervention,n_population,number of people in human population,68000000,NA,,
intervention,n_animals,average herd size,2500,NA,,
